Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Region,State,City,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Inventory_Days,Unit_Cost,Selling_Price,Stock_Level,Supplier,Season
ORD00001,2024-10-16,2024-10-17,CUST7912,Customer_17,Consumer,East,MA,Boston,Technology,Laptop,Laptop Model 195,1191,3,0.0,334.47,74,285.51,397,64,Supplier B,Autumn
ORD00002,2023-08-27,2023-09-01,CUST3615,Customer_217,Corporate,East,NY,New York,Office Supplies,Pen,Pen Model 384,2106,9,0.05,605.88,40,154.98,234,23,Supplier B,Monsoon
ORD00003,2023-08-09,2023-08-16,CUST9785,Customer_64,Corporate,South,TX,Houston,Technology,Monitor,Monitor Model 180,406,2,0.1,80.82,10,142.29,203,255,Supplier C,Monsoon
ORD00004,2024-10-05,2024-10-10,CUST2654,Customer_195,Corporate,South,TX,Houston,Office Supplies,Paper,Paper Model 564,358,1,0.05,74.01,15,266.09,358,139,Supplier C,Autumn
ORD00005,2023-06-16,2023-06-19,CUST8573,Customer_195,Corporate,South,TX,Houston,Office Supplies,Binder,Binder Model 755,662,2,0.05,176.4,36,226.25,331,103,Supplier B,Monsoon
ORD00006,2024-12-02,2024-12-05,CUST4483,Customer_256,Corporate,East,NY,New York,Technology,Monitor,Monitor Model 758,1099,7,0.0,436.59,77,94.63,157,181,Supplier D,Winter
ORD00007,2023-05-27,2023-05-30,CUST6930,Customer_113,Consumer,West,CA,Los Angeles,Office Supplies,Pen,Pen Model 621,1386,9,0.2,198.09,79,101.19,154,224,Supplier D,Summer
ORD00008,2023-04-04,2023-04-11,CUST8668,Customer_271,Corporate,East,NY,New York,Technology,Printer,Printer Model 666,1275,3,0.15,192.39,54,297.12,425,215,Supplier A,Summer
ORD00009,2024-11-27,2024-12-03,CUST9201,Customer_92,Home Office,East,MA,Boston,Office Supplies,Binder,Binder Model 208,340,2,0.15,88.56,5,100.22,170,154,Supplier C,Autumn
ORD00010,2024-10-16,2024-10-21,CUST9005,Customer_10,Consumer,West,CA,Los Angeles,Furniture,Chair,Chair Model 471,3762,9,0.2,76.68,81,325.88,418,185,Supplier C,Autumn
ORD00011,2023-09-03,2023-09-04,CUST3103,Customer_244,Home Office,West,CA,Los Angeles,Technology,Printer,Printer Model 269,3496,8,0.0,718.48,73,347.19,437,84,Supplier C,Autumn
ORD00012,2024-06-24,2024-07-01,CUST8177,Customer_265,Corporate,Central,IL,Chicago,Office Supplies,Pen,Pen Model 223,1540,4,0.1,385.4,90,250.15,385,211,Supplier B,Monsoon
ORD00013,2023-08-19,2023-08-20,CUST4750,Customer_35,Consumer,South,TX,Houston,Office Supplies,Pen,Pen Model 980,1284,4,0.05,511.28,85,177.13,321,50,Supplier C,Monsoon
ORD00014,2023-03-14,2023-03-19,CUST4981,Customer_243,Corporate,West,WA,Seattle,Office Supplies,Binder,Binder Model 294,1184,4,0.05,259.48,78,216.33,296,262,Supplier A,Summer
ORD00015,2023-04-10,2023-04-16,CUST1993,Customer_207,Home Office,Central,OH,Columbus,Furniture,Table,Table Model 447,3696,8,0.0,1041.04,87,331.87,462,70,Supplier A,Summer
ORD00016,2023-09-12,2023-09-14,CUST2604,Customer_26,Home Office,West,WA,Seattle,Technology,Monitor,Monitor Model 653,486,3,0.15,115.44,14,99.22,162,246,Supplier A,Autumn
ORD00017,2023-04-06,2023-04-13,CUST1035,Customer_200,Corporate,West,CA,Los Angeles,Furniture,Table,Table Model 902,1032,8,0.15,76.8,26,100.05,129,214,Supplier D,Summer
